,Document_No,Dominant_Topic,Topic_Perc_Contrib,Topic_Keywords,review_id,appid
0,0,6.0,0.7749000191688538,"game, level, ad, get, middle, , time, update, every, make",5273394649,com.midasplayer.apps.candycrushsaga
1,1,6.0,0.925000011920929,"game, level, ad, get, middle, , time, update, every, make",5273271525,com.midasplayer.apps.candycrushsaga
2,2,2.0,0.8123000264167786,"game, level, candy, reset, money, get, booster, life, year, back",5272658314,com.midasplayer.apps.candycrushsaga
3,3,6.0,0.9182000160217285,"game, level, ad, get, middle, , time, update, every, make",5272631493,com.midasplayer.apps.candycrushsaga
4,4,2.0,0.4296000003814697,"game, level, candy, reset, money, get, booster, life, year, back",5272620906,com.midasplayer.apps.candycrushsaga
5,5,0.0,0.5393000245094299,"update, , new, back, game, level, bring, board, reset, gold",5272225375,com.midasplayer.apps.candycrushsaga
6,6,9.0,0.965399980545044,"candy, game, time, get, , move, suggestion, player, life, bank",5272132786,com.midasplayer.apps.candycrushsaga
7,7,2.0,0.935699999332428,"game, level, candy, reset, money, get, booster, life, year, back",5271857041,com.midasplayer.apps.candycrushsaga
8,8,0.0,0.5426999926567078,"update, , new, back, game, level, bring, board, reset, gold",5271802422,com.midasplayer.apps.candycrushsaga
9,9,8.0,0.6014999747276306,"game, life, level, update, buy, u, get, , let, got",5271355198,com.midasplayer.apps.candycrushsaga
10,10,9.0,0.8199999928474426,"candy, game, time, get, , move, suggestion, player, life, bank",5271193064,com.midasplayer.apps.candycrushsaga
11,11,1.0,0.7749999761581421,"game, add, , many, level, really, ever, way, time, much",5270367612,com.midasplayer.apps.candycrushsaga
12,12,2.0,0.7486000061035156,"game, level, candy, reset, money, get, booster, life, year, back",5270288875,com.midasplayer.apps.candycrushsaga
13,13,9.0,0.8999999761581421,"candy, game, time, get, , move, suggestion, player, life, bank",5269938129,com.midasplayer.apps.candycrushsaga
14,14,6.0,0.6560999751091003,"game, level, ad, get, middle, , time, update, every, make",5269866545,com.midasplayer.apps.candycrushsaga
15,15,6.0,0.7522000074386597,"game, level, ad, get, middle, , time, update, every, make",5269703754,com.midasplayer.apps.candycrushsaga
16,16,9.0,0.7872999906539917,"candy, game, time, get, , move, suggestion, player, life, bank",5269611032,com.midasplayer.apps.candycrushsaga
17,17,2.0,0.5992000102996826,"game, level, candy, reset, money, get, booster, life, year, back",5269499304,com.midasplayer.apps.candycrushsaga
18,18,8.0,0.9718999862670898,"game, life, level, update, buy, u, get, , let, got",5269169358,com.midasplayer.apps.candycrushsaga
19,19,9.0,0.9307000041007996,"candy, game, time, get, , move, suggestion, player, life, bank",5269008601,com.midasplayer.apps.candycrushsaga
20,20,2.0,0.9726999998092651,"game, level, candy, reset, money, get, booster, life, year, back",5268690736,com.midasplayer.apps.candycrushsaga
21,21,1.0,0.550000011920929,"game, add, , many, level, really, ever, way, time, much",5268188846,com.midasplayer.apps.candycrushsaga
